MatchID,RedAgent,BlueAgent,RedScore,BlueScore,Winner
20250329044355968972,myHeuristic,myMCTSV2_sorting,0,9,myMCTSV2_sorting
20250329044838295617,myHeuristic,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250329045319527627,myHeuristic,myMCTSV2_sorting,0,9,myMCTSV2_sorting
20250329045809797702,myHeuristic,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250329050322622840,myHeuristic,myMCTSV2_sorting,0,9,myMCTSV2_sorting
20250329050801130617,myHeuristic,myMCTSV2_sorting,0,12,myMCTSV2_sorting
20250329051253225219,myHeuristic,myMCTSV2_sorting,0,3,myMCTSV2_sorting
20250329051725522159,myHeuristic,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250329052229733661,myHeuristic,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250329052726817541,myHeuristic,myMCTSV2_sorting,0,7,myMCTSV2_sorting
20250329053249199066,myHeuristic,myMCTSV2_sorting,0,9,myMCTSV2_sorting
20250329053757917597,myHeuristic,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250329054318760207,myHeuristic,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250329054557516222,myHeuristic,myMCTSV2_sorting,12,0,myHeuristic
20250329055103967168,myHeuristic,myMCTSV2_sorting,0,6,myMCTSV2_sorting
20250329055458978146,myHeuristic,myMCTSV2_sorting,6,0,myHeuristic
20250329060025978297,myHeuristic,myMCTSV2_sorting,0,9,myMCTSV2_sorting
20250329060539092893,myHeuristic,myMCTSV2_sorting,0,12,myMCTSV2_sorting
20250329061030629564,myHeuristic,myMCTSV2,0,9,myMCTSV2
20250329061513204975,myHeuristic,myMCTSV2,0,6,myMCTSV2
20250329062001047590,myHeuristic,myMCTSV2,0,6,myMCTSV2
20250329062504213725,myHeuristic,myMCTSV2,0,6,myMCTSV2
20250329062956713876,myHeuristic,myMCTSV2,0,12,myMCTSV2
20250329063446826279,myHeuristic,myMCTSV2,0,9,myMCTSV2
20250329063921359073,myHeuristic,myMCTSV2,0,12,myMCTSV2
20250329064156833181,myHeuristic,myMCTSV2,15,0,myHeuristic
20250329064603899547,myHeuristic,myMCTSV2,0,18,myMCTSV2
20250329065103282038,myHeuristic,myMCTSV2,0,3,myMCTSV2
20250329065554773132,myHeuristic,myMCTSV2,0,9,myMCTSV2
20250329070044479795,myHeuristic,myMCTSV2,0,12,myMCTSV2
20250329070523371455,myHeuristic,myMCTSV2,0,12,myMCTSV2
20250329071007260135,myHeuristic,myMCTSV2,0,9,myMCTSV2
20250329071501188073,myHeuristic,myMCTSV2,0,3,myMCTSV2
20250329071932588628,myHeuristic,myMCTSV2,0,12,myMCTSV2
20250329072411543292,myHeuristic,myMCTSV2,0,15,myMCTSV2
20250329072905337892,myHeuristic,myMCTSV2,0,3,myMCTSV2
20250329073348008050,myHeuristic,myMCTSV2,0,7,myMCTSV2
20250329073831817449,myHeuristic,myMCTSV2,0,3,myMCTSV2
20250329074328342594,myHeuristic,myMCTSV2,0,9,myMCTSV2
20250329074843014425,myHeuristic,myMCTSV2,0,0,DRAW
20250329075327962410,myHeuristic,myMCTSV2,0,6,myMCTSV2
20250329075814334908,myHeuristic,myMCTSV2,0,12,myMCTSV2
20250329080254734834,myHeuristic,myMCTSV2,0,15,myMCTSV2
20250329080735474303,myHeuristic,myMCTSV2,0,9,myMCTSV2
20250329081228556492,myHeuristic,myMCTSV2,0,9,myMCTSV2
20250329081713998858,myHeuristic,myMCTSV2,0,6,myMCTSV2
20250329082146610068,myHeuristic,myMCTSV2,0,12,myMCTSV2
20250329082414412661,myHeuristic,myMCTSV2,0,12,myMCTSV2
20250329082850263578,myHeuristic,myMCTSV2_weighted_rollout,0,6,myMCTSV2_weighted_rollout
20250329083323657841,myHeuristic,myMCTSV2_weighted_rollout,0,12,myMCTSV2_weighted_rollout
